feature,region,lat,type,0,1,2,id
LH_SUPERIORFRONTAL_AVGTH,lh-superiorfrontal,L,T,LH,SUPERIORFRONTAL,AVGTH,45.0
LH_SUPERIORPARIETAL_GVOL,lh-superiorparietal,L,V,LH,SUPERIORPARIETAL,GVOL,46.0
LH_SUPERIORPARIETAL_SAREA,lh-superiorparietal,L,A,LH,SUPERIORPARIETAL,SAREA,46.0
LH_SUPERIORPARIETAL_AVGTH,lh-superiorparietal,L,T,LH,SUPERIORPARIETAL,AVGTH,46.0
LH_SUPERIORTEMPORAL_GVOL,lh-superiortemporal,L,V,LH,SUPERIORTEMPORAL,GVOL,47.0
LH_SUPERIORTEMPORAL_SAREA,lh-superiortemporal,L,A,LH,SUPERIORTEMPORAL,SAREA,47.0
LH_SUPERIORTEMPORAL_AVGTH,lh-superiortemporal,L,T,LH,SUPERIORTEMPORAL,AVGTH,47.0
LH_SUPRAMARGINAL_GVOL,lh-supramarginal,L,V,LH,SUPRAMARGINAL,GVOL,48.0
LH_SUPRAMARGINAL_SAREA,lh-supramarginal,L,A,LH,SUPRAMARGINAL,SAREA,48.0
LH_SUPRAMARGINAL_AVGTH,lh-supramarginal,L,T,LH,SUPRAMARGINAL,AVGTH,48.0
LH_TRANSVERSETEMPORAL_GVOL,lh-transversetemporal,L,V,LH,TRANSVERSETEMPORAL,GVOL,51.0
LH_TRANSVERSETEMPORAL_SAREA,lh-transversetemporal,L,A,LH,TRANSVERSETEMPORAL,SAREA,51.0
LH_TRANSVERSETEMPORAL_AVGTH,lh-transversetemporal,L,T,LH,TRANSVERSETEMPORAL,AVGTH,51.0
RH_CAUDALANTERIORCINGULATE_GVOL,rh-caudalanteriorcingulate,R,V,RH,CAUDALANTERIORCINGULATE,GVOL,54.0
RH_CAUDALANTERIORCINGULATE_SAREA,rh-caudalanteriorcingulate,R,A,RH,CAUDALANTERIORCINGULATE,SAREA,54.0
RH_CAUDALANTERIORCINGULATE_AVGTH,rh-caudalanteriorcingulate,R,T,RH,CAUDALANTERIORCINGULATE,AVGTH,54.0
RH_CAUDALMIDDLEFRONTAL_GVOL,rh-caudalmiddlefrontal,R,V,RH,CAUDALMIDDLEFRONTAL,GVOL,55.0
RH_CAUDALMIDDLEFRONTAL_SAREA,rh-caudalmiddlefrontal,R,A,RH,CAUDALMIDDLEFRONTAL,SAREA,55.0
RH_CAUDALMIDDLEFRONTAL_AVGTH,rh-caudalmiddlefrontal,R,T,RH,CAUDALMIDDLEFRONTAL,AVGTH,55.0
RH_CUNEUS_GVOL,rh-cuneus,R,V,RH,CUNEUS,GVOL,56.0
RH_CUNEUS_SAREA,rh-cuneus,R,A,RH,CUNEUS,SAREA,56.0
RH_CUNEUS_AVGTH,rh-cuneus,R,T,RH,CUNEUS,AVGTH,56.0
RH_ENTORHINAL_GVOL,rh-entorhinal,R,V,RH,ENTORHINAL,GVOL,57.0
RH_ENTORHINAL_SAREA,rh-entorhinal,R,A,RH,ENTORHINAL,SAREA,57.0
RH_ENTORHINAL_AVGTH,rh-entorhinal,R,T,RH,ENTORHINAL,AVGTH,57.0
RH_FUSIFORM_GVOL,rh-fusiform,R,V,RH,FUSIFORM,GVOL,58.0
RH_FUSIFORM_SAREA,rh-fusiform,R,A,RH,FUSIFORM,SAREA,58.0
RH_FUSIFORM_AVGTH,rh-fusiform,R,T,RH,FUSIFORM,AVGTH,58.0
RH_INFERIORPARIETAL_GVOL,rh-inferiorparietal,R,V,RH,INFERIORPARIETAL,GVOL,59.0
RH_INFERIORPARIETAL_SAREA,rh-inferiorparietal,R,A,RH,INFERIORPARIETAL,SAREA,59.0
RH_INFERIORPARIETAL_AVGTH,rh-inferiorparietal,R,T,RH,INFERIORPARIETAL,AVGTH,59.0
RH_INFERIORTEMPORAL_GVOL,rh-inferiortemporal,R,V,RH,INFERIORTEMPORAL,GVOL,60.0
RH_INFERIORTEMPORAL_SAREA,rh-inferiortemporal,R,A,RH,INFERIORTEMPORAL,SAREA,60.0
RH_INFERIORTEMPORAL_AVGTH,rh-inferiortemporal,R,T,RH,INFERIORTEMPORAL,AVGTH,60.0
RH_INSULA_GVOL,rh-insula,R,V,RH,INSULA,GVOL,86.0
RH_INSULA_SAREA,rh-insula,R,A,RH,INSULA,SAREA,86.0
RH_INSULA_AVGTH,rh-insula,R,T,RH,INSULA,AVGTH,86.0
RH_ISTHMUSCINGULATE_GVOL,rh-isthmuscingulate,R,V,RH,ISTHMUSCINGULATE,GVOL,61.0
RH_ISTHMUSCINGULATE_SAREA,rh-isthmuscingulate,R,A,RH,ISTHMUSCINGULATE,SAREA,61.0
RH_ISTHMUSCINGULATE_AVGTH,rh-isthmuscingulate,R,T,RH,ISTHMUSCINGULATE,AVGTH,61.0
RH_LATERALOCCIPITAL_GVOL,rh-lateraloccipital,R,V,RH,LATERALOCCIPITAL,GVOL,62.0
RH_LATERALOCCIPITAL_SAREA,rh-lateraloccipital,R,A,RH,LATERALOCCIPITAL,SAREA,62.0
RH_LATERALOCCIPITAL_AVGTH,rh-lateraloccipital,R,T,RH,LATERALOCCIPITAL,AVGTH,62.0
RH_LATERALORBITOFRONTAL_GVOL,rh-lateralorbitofrontal,R,V,RH,LATERALORBITOFRONTAL,GVOL,63.0
RH_LATERALORBITOFRONTAL_SAREA,rh-lateralorbitofrontal,R,A,RH,LATERALORBITOFRONTAL,SAREA,63.0
RH_LATERALORBITOFRONTAL_AVGTH,rh-lateralorbitofrontal,R,T,RH,LATERALORBITOFRONTAL,AVGTH,63.0
RH_LINGUAL_GVOL,rh-lingual,R,V,RH,LINGUAL,GVOL,64.0
RH_LINGUAL_SAREA,rh-lingual,R,A,RH,LINGUAL,SAREA,64.0
RH_LINGUAL_AVGTH,rh-lingual,R,T,RH,LINGUAL,AVGTH,64.0
RH_MEDIALORBITOFRONTAL_GVOL,rh-medialorbitofrontal,R,V,RH,MEDIALORBITOFRONTAL,GVOL,65.0
RH_MEDIALORBITOFRONTAL_SAREA,rh-medialorbitofrontal,R,A,RH,MEDIALORBITOFRONTAL,SAREA,65.0
RH_MEDIALORBITOFRONTAL_AVGTH,rh-medialorbitofrontal,R,T,RH,MEDIALORBITOFRONTAL,AVGTH,65.0
RH_MIDDLETEMPORAL_GVOL,rh-middletemporal,R,V,RH,MIDDLETEMPORAL,GVOL,66.0
RH_MIDDLETEMPORAL_SAREA,rh-middletemporal,R,A,RH,MIDDLETEMPORAL,SAREA,66.0
RH_MIDDLETEMPORAL_AVGTH,rh-middletemporal,R,T,RH,MIDDLETEMPORAL,AVGTH,66.0
RH_PARACENTRAL_GVOL,rh-paracentral,R,V,RH,PARACENTRAL,GVOL,68.0
RH_PARACENTRAL_SAREA,rh-paracentral,R,A,RH,PARACENTRAL,SAREA,68.0
RH_PARACENTRAL_AVGTH,rh-paracentral,R,T,RH,PARACENTRAL,AVGTH,68.0
RH_PARAHIPPOCAMPAL_GVOL,rh-parahippocampal,R,V,RH,PARAHIPPOCAMPUSCAMPAL,GVOL,67.0
RH_PARAHIPPOCAMPAL_SAREA,rh-parahippocampal,R,A,RH,PARAHIPPOCAMPUSCAMPAL,SAREA,67.0
RH_PARAHIPPOCAMPAL_AVGTH,rh-parahippocampal,R,T,RH,PARAHIPPOCAMPUSCAMPAL,AVGTH,67.0
RH_PARSOPERCULARIS_GVOL,rh-parsopercularis,R,V,RH,PARSOPERCULARIS,GVOL,69.0
RH_PARSOPERCULARIS_SAREA,rh-parsopercularis,R,A,RH,PARSOPERCULARIS,SAREA,69.0
RH_PARSOPERCULARIS_AVGTH,rh-parsopercularis,R,T,RH,PARSOPERCULARIS,AVGTH,69.0
RH_PARSORBITALIS_GVOL,rh-parsorbitalis,R,V,RH,PARSORBITALIS,GVOL,70.0
RH_PARSORBITALIS_SAREA,rh-parsorbitalis,R,A,RH,PARSORBITALIS,SAREA,70.0
RH_PARSORBITALIS_AVGTH,rh-parsorbitalis,R,T,RH,PARSORBITALIS,AVGTH,70.0
RH_PARSTRIANGULARIS_GVOL,rh-parstriangularis,R,V,RH,PARSTRIANGULARIS,GVOL,71.0
RH_PARSTRIANGULARIS_SAREA,rh-parstriangularis,R,A,RH,PARSTRIANGULARIS,SAREA,71.0
RH_PARSTRIANGULARIS_AVGTH,rh-parstriangularis,R,T,RH,PARSTRIANGULARIS,AVGTH,71.0
RH_PERICALCARINE_GVOL,rh-pericalcarine,R,V,RH,PERICALCARINE,GVOL,72.0
RH_PERICALCARINE_SAREA,rh-pericalcarine,R,A,RH,PERICALCARINE,SAREA,72.0
RH_PERICALCARINE_AVGTH,rh-pericalcarine,R,T,RH,PERICALCARINE,AVGTH,72.0
RH_POSTCENTRAL_GVOL,rh-postcentral,R,V,RH,POSTCENTRAL,GVOL,73.0
RH_POSTCENTRAL_SAREA,rh-postcentral,R,A,RH,POSTCENTRAL,SAREA,73.0
RH_POSTCENTRAL_AVGTH,rh-postcentral,R,T,RH,POSTCENTRAL,AVGTH,73.0
RH_POSTERIORCINGULATE_GVOL,rh-posteriorcingulate,R,V,RH,POSTERIORCINGULATE,GVOL,74.0
RH_POSTERIORCINGULATE_SAREA,rh-posteriorcingulate,R,A,RH,POSTERIORCINGULATE,SAREA,74.0
RH_POSTERIORCINGULATE_AVGTH,rh-posteriorcingulate,R,T,RH,POSTERIORCINGULATE,AVGTH,74.0
RH_PRECENTRAL_GVOL,rh-precentral,R,V,RH,PRECENTRAL,GVOL,75.0
RH_PRECENTRAL_SAREA,rh-precentral,R,A,RH,PRECENTRAL,SAREA,75.0
RH_PRECENTRAL_AVGTH,rh-precentral,R,T,RH,PRECENTRAL,AVGTH,75.0
RH_PRECUNEUS_GVOL,rh-precuneus,R,V,RH,PRECUNEUS,GVOL,76.0
RH_PRECUNEUS_SAREA,rh-precuneus,R,A,RH,PRECUNEUS,SAREA,76.0
RH_PRECUNEUS_AVGTH,rh-precuneus,R,T,RH,PRECUNEUS,AVGTH,76.0
RH_ROSTRALANTERIORCINGULATE_GVOL,rh-rostralanteriorcingulate,R,V,RH,ROSTRALANTERIORCINGULATE,GVOL,77.0
RH_ROSTRALANTERIORCINGULATE_SAREA,rh-rostralanteriorcingulate,R,A,RH,ROSTRALANTERIORCINGULATE,SAREA,77.0
RH_ROSTRALANTERIORCINGULATE_AVGTH,rh-rostralanteriorcingulate,R,T,RH,ROSTRALANTERIORCINGULATE,AVGTH,77.0
RH_ROSTRALMIDDLEFRONTAL_GVOL,rh-rostralmiddlefrontal,R,V,RH,ROSTRALMIDDLEFRONTAL,GVOL,78.0
RH_ROSTRALMIDDLEFRONTAL_SAREA,rh-rostralmiddlefrontal,R,A,RH,ROSTRALMIDDLEFRONTAL,SAREA,78.0
RH_ROSTRALMIDDLEFRONTAL_AVGTH,rh-rostralmiddlefrontal,R,T,RH,ROSTRALMIDDLEFRONTAL,AVGTH,78.0
RH_SUPERIORFRONTAL_GVOL,rh-superiorfrontal,R,V,RH,SUPERIORFRONTAL,GVOL,79.0
RH_SUPERIORFRONTAL_SAREA,rh-superiorfrontal,R,A,RH,SUPERIORFRONTAL,SAREA,79.0
RH_SUPERIORFRONTAL_AVGTH,rh-superiorfrontal,R,T,RH,SUPERIORFRONTAL,AVGTH,79.0
RH_SUPERIORPARIETAL_GVOL,rh-superiorparietal,R,V,RH,SUPERIORPARIETAL,GVOL,80.0
RH_SUPERIORPARIETAL_SAREA,rh-superiorparietal,R,A,RH,SUPERIORPARIETAL,SAREA,80.0
RH_SUPERIORPARIETAL_AVGTH,rh-superiorparietal,R,T,RH,SUPERIORPARIETAL,AVGTH,80.0
RH_SUPERIORTEMPORAL_GVOL,rh-superiortemporal,R,V,RH,SUPERIORTEMPORAL,GVOL,81.0
RH_SUPERIORTEMPORAL_SAREA,rh-superiortemporal,R,A,RH,SUPERIORTEMPORAL,SAREA,81.0
RH_SUPERIORTEMPORAL_AVGTH,rh-superiortemporal,R,T,RH,SUPERIORTEMPORAL,AVGTH,81.0
RH_SUPRAMARGINAL_GVOL,rh-supramarginal,R,V,RH,SUPRAMARGINAL,GVOL,82.0
RH_SUPRAMARGINAL_SAREA,rh-supramarginal,R,A,RH,SUPRAMARGINAL,SAREA,82.0
RH_SUPRAMARGINAL_AVGTH,rh-supramarginal,R,T,RH,SUPRAMARGINAL,AVGTH,82.0
RH_TRANSVERSETEMPORAL_GVOL,rh-transversetemporal,R,V,RH,TRANSVERSETEMPORAL,GVOL,85.0
RH_TRANSVERSETEMPORAL_SAREA,rh-transversetemporal,R,A,RH,TRANSVERSETEMPORAL,SAREA,85.0
RH_TRANSVERSETEMPORAL_AVGTH,rh-transversetemporal,R,T,RH,TRANSVERSETEMPORAL,AVGTH,85.0
WMH,wmh,TOT,V,WMH,,,
